"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
2:"Nebula Mirage Pantheon":9878:8,94:0,982:2,09:"vine; ice canyon":"arid; frozen"
3:"Aniara Prime":6939:1,29:1,243:1,01:"verdant; urban; volcano; vine":"frigid; artic; arid"
4:"Aniara Duodecimal":6939:1,58:0,796:1,26:"cityscape; lakes; plain; ocean; verdant":"tropical; hot; artificial temperate; rocky; windy"
5:"Aniara Quintal":6939:missing:0,672:0,86:"cityscape; acid pool; scrubland":"subartic; windy; rocky; hot; arid; temperate"
6:"Aniara Vigesimal":6939:1,55:0,83:1,23:"tundra":"windy; frozen; frigid"
7:"Aniara Undecimal":6939:0,65:0,787:0,94:"city; tundra":"frozen"
8:"Nebulonix Demetrian":8576:1,96:1,229:1,17:"forest; jungle; plateau; field; volcano":"humid; frigid; arid; artic"
9:"Aludra Gamma":2283:1,96:0,964:1,27:"urban; ocean; sea; sinkholes; field":"artificial temperate; hot; subartic; arid; temperate"
10:"Aludra Beta":2283:6,24:1,054:1,81:"rock arche; cliff":"frozen; subartic"
11:"Aludra Psi":2283:2,51:0,591:1,62:"valley; ocean; cave; ash":"frigid; hot; humid; artic; rocky"
12:"Ainalrami X":1756:1,39:1,403:1:"rainforest; mountain; rocky desert; jungle; plateau; island":"windy; frigid; tropical; artic; rocky; frozen"
13:"Ainalrami I":1756:7,59:0,68:2,23:"ice canyon; barren":"arid; artic; frozen"
14:"Tevel III":9291:8,69:0,983:2,07:"plain":"artificial temperate; temperate; artic; windy; humid; rocky"
15:"Tevel XVIII":9291:3,52:1,416:1,35:"rainforest; tundra; acid pool; urban; verdant; jungle":"hot; rocky; arid; humid; superheated; subartic"
16:"Tamashī Labyrinth Hermesios":3441:1,16:0,944:1,07:"cave; river; sea":"windy; artificial temperate; arid; frigid"
17:"Mizar Iota":4160:1,88:1,019:1,23:"island; ice canyon; cityscape; savanna; rock arche; cave; plain; lakes":"humid; hot; arid; frozen; artic"
18:"Wurren Beta":3617:0,8:1,137:0,89:"fungus forest; plain; grassy hill; cliff":"windy; frigid; frozen; hot; temperate; tropical"
19:"Wurren Lambda":3617:1,35:0,701:1,24:"jungle; rainforest; savanna; barren; toxic cloudsea; verdant":"arid; frozen; tropical; frigid"
20:"Elysiumix Quartal":2546:2,33:1,182:1,25:"rocky desert; cityscape; urban":"frigid; arid"
21:"Elysiumix Prime":2546:2,95:1,096:1,39:"ocean; canyons; valley":"frigid; artic; artificial temperate"
22:"Menkar Pantheon":3549:9,46:1,215:1,98:"rocky desert; city":"arid; humid"
