"Star_code":"Star_name":"Distance":"star temperature":"MASS":"STAR RADIUS":"STAR LUMINOSITY":"STAR TYPE"
7378:"Muphrid":47,9382:3970:0,5:0,79:0,39:"K-5-V"
5774:"Aurum Obscura":252,64:3024:0,3:0,15:0,06:"M-3-V"
2693:"Chaophraya":160,5:4096:0,5:0,8:0,59:"K-5-V"
4845:"Enishi Resonance":10,34:3724:0,6:0,85:0,25:"K-6-V"
4364:"Irena":1452,22:2738:0,4:0,45:0,04:"M-2-V"
7786:"Seth's Enigma":111:2654:0,2:0,51:0,04:"M-5-V"
2558:"Deneb Algedi":1085,78:3759:0,6:0,87:0,22:"K-0-V"
6185:"Rigil Kentaurus":386,757:2774:0,1:0,31:0,07:"M-3-V"
4835:"Cosmic Gaze":145,701:2921:0,4:0,66:0,07:"M-3-V"
7738:"Phantasmal Echo":400,2:2605:0,3:0,2:0,02:"M-5-V"
5428:"Ketsueki Whispers":55,55:4156:0,6:0,77:0,08:"K-3-V"
1320:"Cerulean Abyss":1179,52:3936:0,6:0,87:0,19:"K-2-V"
4890:"Tesserion":268,97:4316:0,7:0,86:0,33:"K-5-V"
5469:"Chasoň":25,5:4319:0,5:0,77:0,34:"K-2-V"
2143:"Atlas":3930:4027:0,5:0,88:0,38:"K-1-V"
7658:"Starshara":1355,75:5616:0,8:1,05:0,87:"G-2-V"
6939:"Aniara":837,17:2452:0,4:0,58:0,06:"M-5-V"
2304:"Lunar Mirage":281,231:3090:0,2:0,28:0,04:"M-1-V"
75:"Beid":395,196:2973:0,3:0,32:0,02:"M-2-V"
5396:"Lurking Whispers":265,4:2755:0,3:0,6:0,05:"M-5-V"
1096:"Axeheart":12,48:2679:0,2:0,03:0,05:"M-2-V"
4116:"Kiri Horizon":293,01:2733:0,3:0,07:0,07:"M-2-V"
4647:"Zosma":13,602:2657:0,2:0,64:0,07:"M-2-V"
5941:"Koit":517,687:3159:0,4:0,55:0,06:"M-2-V"
9745:"Ignitionara":421,636:5692:0,9:1,07:1,01:"G-2-V"
5805:"Phact":1302,42:2942:0,4:0,14:0,05:"M-5-V"
1135:"Grumium":414,47:4257:0,6:0,75:0,43:"K-3-V"
8218:"Dofida":1549,19:2453:0,1:0,23:0,01:"M-3-V"
9726:"Ebla":1011,12:3113:0,2:0,62:0,05:"M-3-V"
5005:"Porrima":80,6:3713:0,7:0,86:0,25:"K-6-V"
3884:"Nekkar":364,9:5270:0,9:1,1:0,93:"G-5-V"
464:"Solaris":176,965:2743:0,4:0,01:0,08:"M-5-V"
661:"Astrophia":18,4:3216:0,4:0,69:0,08:"M-3-V"
9909:"Bélénos":28,94:2519:0,1:0,56:0,02:"M-5-V"
5809:"Dalim":651,783:2794:0,3:0,21:0,02:"M-2-V"
1591:"Khambalia":439,8:2770:0,1:0,17:0,07:"M-2-V"
4679:"Novaflame":707,814:2610:0,3:0,68:0,08:"M-4-V"
4598:"Yugen":460:2664:0,4:0,61:0,01:"M-3-V"
1827:"Taiyi":456,3:2798:0,1:0,12:0,04:"M-5-V"
3458:"Thunderforge":156,7:3711:0,6:0,7:0,47:"K-5-V"
2159:"Vortexara":95,3906:2839:0,4:0,2:0,01:"M-4-V"
3895:"Minchir":14,9:5613:1:1,02:0,75:"G-2-V"
1006:"Osiris Cascade":45,27:4038:0,7:0,94:0,57:"K-2-V"
5632:"Eltanin":771,8:3712:0,5:0,94:0,18:"K-3-V"
1303:"Dingolay":742,16:3870:0,6:0,84:0,23:"K-5-V"
2475:"Maasym":114,54:4170:0,5:0,94:0,4:"K-3-V"
2092:"Cosmic Enigma":44,7:3262:0,2:0,59:0,06:"M-0-V"
3758:"Frostfang":706,14:3137:0,4:0,45:0,07:"M-2-V"
3943:"Amaterasu":89,8:3824:0,5:0,84:0,22:"K-6-V"
3857:"Ain":887,81:4795:0,7:0,96:0,35:"K-2-V"
482:"Bosona":44,12:2753:0,1:0,06:0,02:"M-5-V"
3488:"Matar":648,69:2531:0,4:0,02:0,03:"M-3-V"
6812:"Avior":131,21:4066:0,6:0,86:0,5:"K-5-V"
9587:"Seishin":327,93:2544:0,3:0,32:0,08:"M-6-V"
4325:"Alcyone":284,58:2773:0,3:0,43:0,05:"M-3-V"
2236:"Alderamin":222,852:2843:0,4:0,64:0,01:"M-2-V"
3439:"Celaeno":44,94:2885:0,4:0,29:0,02:"M-4-V"
7311:"Almaaz":1607,46:2603:0,4:0,37:0:"M-1-V"
94:"Tapecue":268,2:2516:0,2:0,36:0,03:"M-8-V"
850:"Ebon Cosmos":561,482:2493:0,1:0,64:0,08:"M-6-V"
6743:"Kaminari Enigma":38,9679:4591:0,5:0,81:0,55:"K-3-V"
1748:"Belel":595,8:2510:0,4:0,02:0,05:"M-8-V"
3927:"Dubhe":27,19:4295:0,6:0,85:0,23:"K-2-V"
1315:"Azha":285,91:2648:0,3:0,38:0,06:"M-5-V"
627:"Asterion Enigma":6,9:2647:0,2:0,05:0,02:"M-2-V"
66:"Rukbat":368,31:4050:0,7:0,77:0,59:"K-2-V"
6155:"Helvetios":763,662:2629:0,1:0,61:0,01:"M-5-V"
3495:"Pharaoh's Veil":326,2:2429:0,4:0,48:0:"M-5-V"
5050:"Jishui":1346,08:4876:0,5:0,95:0,21:"K-1-V"
3952:"Chalawan":1380,83:2643:0,1:0,14:0,01:"M-2-V"
8044:"Zenitharian":567,891:3876:0,6:0,94:0,11:"K-7-V"
869:"Vortexith":10,623:2825:0,2:0,15:0,03:"M-3-V"
5636:"Koi's Whisper":24,6:4347:0,6:0,71:0,09:"K-5-V"
1797:"Kaus Australis":5370:2865:0,3:0,17:0,02:"M-5-V"
9556:"Wyrmslayer":431,369:4033:0,5:0,74:0,1:"K-6-V"
6430:"Aladfar":650,34:2495:0,2:0,7:0,04:"M-4-V"
786:"Alfirk":719,8:2567:0,1:0,5:0:"M-4-V"
7138:"Rigel":7010:2726:0,1:0,26:0,05:"M-2-V"
5257:"Phantara":66,5:2401:0,3:0,39:0,06:"M-8-V"
291:"Solarionis":935,191:5240:0,8:1,09:0,66:"G-2-V"
5331:"Thuban":13,75:2526:0,4:0,36:0,05:"M-4-V"
8142:"Nenque":370,06:3221:0,2:0,18:0:"M-3-V"
1489:"Tupã":945,775:2880:0,3:0,33:0,01:"M-0-V"
5323:"Unukalhai":114,865:3974:0,6:0,77:0,12:"K-3-V"
288:"Elkurud":550:3414:0,2:0,47:0,04:"M-0-V"
668:"Sadalbari":604,83:2541:0,3:0,35:0,02:"M-8-V"
5566:"Lunaris":716,62:3193:0,3:0,15:0,01:"M-3-V"
9406:"Ebon Labyrinth":9,44:5230:0,8:1,01:0,87:"G-4-V"
5991:"Menkalinan":410,38:2911:0,2:0,31:0,05:"M-2-V"
1977:"Sylvarix":96:5160:0,8:0,8:0,23:"K-0-V"
7980:"Astrolithium":35,2:2515:0,4:0,18:0,05:"M-3-V"
5597:"Tianguan":45,2:3488:0,2:0,64:0,07:"M-1-V"
1173:"Frostgale":369,66:3204:0,2:0,37:0,05:"M-0-V"
9152:"Mouhoun":484,58:2593:0,4:0,27:0,03:"M-5-V"
1066:"Astral Mirage":45,5:2443:0,1:0,21:0,03:"M-8-V"
2112:"Asahi":772,8:3014:0,4:0,58:0,08:"M-1-V"
1288:"Vesperian Whimsy":4,47:2890:0,2:0,38:0,05:"M-5-V"
259:"Asahi Horizon":650,322:2662:0,2:0,13:0,07:"M-4-V"
5800:"Luminastra":368,283:3345:0,4:0,29:0,08:"M-2-V"
1032:"Galactic Ember":1859,77:2729:0,4:0,5:0,05:"M-2-V"
4221:"Stardrax":374:2659:0,1:0,23:0,07:"M-3-V"
5867:"Cosmosith":393,949:4440:0,7:0,85:0,59:"K-1-V"
7864:"Electra":1363,58:2792:0,4:0,03:0,07:"M-5-V"
7002:"Cosmic Elegance":549,179:2655:0,4:0,34:0,03:"M-2-V"
9090:"Menkib":1072,5:2905:0,3:0,33:0,07:"M-1-V"
9581:"Edasich":748,64:4466:0,6:0,83:0,3:"K-2-V"
9313:"Macondo":41,2:5413:0,9:1:1,25:"G-2-V"
4717:"Tejat":7040:5620:1:1,01:0,91:"G-4-V"
9771:"Starglow Spectra":43,6002:4205:0,5:0,82:0,55:"K-2-V"
3519:"Diphda":441,56:2421:0,1:0,39:0,05:"M-5-V"
9938:"Eldritch Veil":691,04:2789:0,2:0,08:0,04:"M-5-V"
953:"Rapeto":56,5:2919:0,4:0,64:0,07:"M-2-V"
9575:"Kasumi":833,681:4261:0,8:0,81:0,1:"K-5-V"
1818:"Ronin's Veil":441,813:2822:0,3:0,2:0,06:"M-2-V"
4438:"Rasalas":524,41:3018:0,3:0,06:0,05:"M-2-V"
7333:"Arcadian Whispers":401,6:2432:0,3:0,09:0,06:"M-4-V"
1260:"Dziban":7730:3462:0,1:0,16:0:"M-1-V"
6364:"Okab":942,418:2997:0,1:0,23:0,04:"M-1-V"
3233:"Brimstone":286,727:3861:0,8:0,74:0,22:"K-0-V"
6370:"Orion's Gaze":570,05:5815:1:1:0,96:"G-2-V"
5503:"Bibhā":593,472:2837:0,4:0,58:0,04:"M-2-V"
4427:"Bastet's Horizon":251:3127:0,4:0,44:0,03:"M-0-V"
1198:"Aldulfin":290:2908:0,3:0,16:0,01:"M-5-V"
5642:"Terebellum":68,81:3333:0,2:0,44:0,02:"M-1-V"
7238:"Izar":499,027:2767:0,4:0,1:0,06:"M-1-V"
